ieta	depth1	depth2	depth3	depth4	depth5	depth6	depth7 
-29		4		2		-1		0		0		0		0
-28		0		0		0		-4		-5		-5		-6
-27		-3		0		-2		-3		-5		-5		-7
-26		-3		-2		-3		-3		-5		-6		-7
-25		-4		-3		-4		-4		-6		-8		0
-24		-5		-4		-4		-5		-7		-8		0
-23		-6		-4		-4		-6		-7		-8		0
-22		-7		-4		-5		-5		-6		-8		0
-21		-8		-4		-5		-6		-7		-8		0
-20		-7		-3		-5		-5		-5		-8		0
-19		-8		-4		-5		-6		-6		-8		0
-18		0		-6		-5		-6		-11		0		0
-17		0		-9		-9		0		0		0		0
-16		0		0		0		0		0		0		0
16		0		0		0		0		0		0		0
17		0		-10		-1		0		0		0		0
18		0		-6		-5		-6		-11		0		0
19		-8		-4		-5		-6		-6		-8		0
20		-8		-4		-5		-5		-6		-6		0
21		-8		-4		-5		-6		-6		-8		0
22		-7		-4		-5		-6		-7		-8		0
23		-6		-4		-4		-6		-6		-8		0
24		-5		-4		-5	 	-5		-7		-9		0
25		-2		-2		-3		-5		-6		-7		0
26		0		-2		-3		-3		-5		-6		-7
27		0		1		-1		-3		-4		-5		-6
28		0		-1		-2		-4		-5		-5		-6
29		4		1		0		0		0		0		0
